STT,T1,L1,H1,S1,V1,X1,D1,N1,T2,L2,H2,S2,V2,X2,D2,N2,T3,L3,H3,S3,V3,X3,D3,N3,T4,L4,H4,S4,V4,X4,D4,N4,T5,L5,H5,S5,V5,X5,D5,N5,T6,L6,H6,S6,V6,X6,D6,N6,GT,DT,KV,DH1,DH2,DH3,KT,TBM1,TBM2,TBM3,XL,US_TBM1,US_TBM2,US_TBM3,KQXT
67,5.1,3.7,4.7,5.5,5.1,4.5,5.8,2.8,5.3,4.2,5.1,6.5,5.6,7.1,6.4,4.1,4.7,5.2,4.3,5.0,5.4,5.0,5.9,3.6,5.6,4.6,4.2,5.3,5.2,6.1,6.0,4.3,6.2,5.4,5.0,4.9,4.7,4.6,6.3,4.5,5.9,6.9,6.4,4.6,5.8,6.3,6.1,4.6,M,0.0,2NT,4.0,4.5,3.25,A,4.6499999999999995,5.5375000000000005,5.825000000000001,TB,0.5206349206349197,1.1666666666666679,1.0187265917603003,0
68,4.6,4.9,5.3,5.7,4.5,5.0,7.3,2.8,7.2,6.5,4.9,6.3,4.0,6.5,7.5,3.8,7.6,4.9,5.1,5.1,4.6,5.3,6.7,4.1,6.2,5.8,6.7,6.9,5.7,5.8,7.1,4.2,8.0,4.3,7.7,7.4,4.7,4.5,6.6,5.3,7.2,5.0,8.0,6.3,5.5,5.7,5.8,4.6,M,0.0,1,4.5,4.5,5.5,B,5.012499999999999,5.8375,6.0125,TB,0.8888888888888875,1.4523809523809534,1.2434456928838946,0
69,7.3,6.4,6.9,7.5,6.2,8.4,7.6,8.1,8.1,7.0,7.1,8.3,6.8,6.9,9.2,8.7,8.2,6.8,7.7,8.6,7.3,8.3,7.8,8.2,7.9,7.7,7.1,9.2,7.6,7.8,8.4,7.8,8.4,8.4,7.3,7.5,7.2,7.7,7.6,8.6,8.1,8.0,8.1,7.1,8.0,8.8,7.9,7.9,M,0.0,1,3.75,6.0,4.5,B,7.300000000000001,7.762499999999999,7.987500000000001,K,3.2126984126984137,3.2857142857142856,3.6104868913857686,1
70,6.0,5.9,6.0,5.3,4.8,7.1,5.8,5.2,6.2,5.6,7.7,7.2,5.5,5.9,6.6,7.3,5.1,4.4,5.4,6.9,4.8,4.0,4.5,4.8,5.1,4.2,5.3,5.2,6.0,5.4,6.5,5.3,3.5,3.3,4.8,4.3,4.8,5.9,4.6,4.0,5.6,7.3,5.0,6.2,5.4,6.7,4.4,4.9,M,0.0,1,2.25,3.75,6.25,B,5.7625,6.5,5.6875,TB,1.6507936507936511,2.083333333333334,0.8539325842696623,0
71,5.8,6.3,6.0,6.5,6.7,7.6,6.7,5.9,7.6,7.5,5.6,8.1,6.3,6.3,7.1,7.1,6.6,6.7,4.0,7.3,6.1,5.2,7.8,6.0,5.3,7.8,6.6,7.1,6.8,6.8,6.8,6.3,6.5,7.0,6.9,5.7,7.0,6.6,6.6,5.7,8.2,7.4,6.0,7.6,7.3,7.3,7.8,6.8,F,0.0,2,2.25,4.5,7.25,A,6.4375,6.949999999999999,7.299999999999999,K,2.336507936507936,2.511904761904762,2.786516853932582,0
72,3.0,5.1,3.0,6.4,4.3,4.8,2.0,4.5,4.8,4.1,3.5,6.2,6.7,5.4,6.7,4.1,4.7,4.7,6.2,6.1,6.6,6.6,4.6,4.6,5.0,5.1,5.6,6.2,6.4,7.1,7.3,4.6,6.8,4.9,6.1,4.7,5.5,5.9,6.5,4.6,9.0,5.7,6.0,6.1,6.2,8.1,5.8,5.1,F,0.0,1,3.5,4.75,3.5,B,4.1375,5.1875,6.5,TB,0.0,0.8333333333333339,1.8277153558052426,0
73,5.5,6.6,7.2,7.6,5.5,6.7,6.7,5.2,6.0,6.8,6.3,7.2,4.9,4.8,6.6,5.3,4.6,5.5,5.5,7.1,5.2,6.1,7.1,5.4,5.2,4.7,5.8,6.3,5.7,5.6,5.2,5.3,5.2,5.5,6.3,6.6,6.1,6.5,5.3,5.2,6.1,6.2,7.3,7.8,5.5,5.9,6.3,5.5,M,0.0,1,1.5,4.5,5.5,A,6.375000000000001,5.9875,6.325,TB,2.273015873015874,1.5952380952380958,1.6179775280898872,0
74,5.2,3.1,4.7,5.8,6.1,3.1,4.8,4.4,5.5,5.9,5.7,6.3,5.5,4.8,6.1,5.1,4.7,6.3,5.0,6.1,5.9,5.8,6.1,5.8,4.3,5.9,5.5,7.0,6.7,4.7,6.1,6.2,4.7,6.0,5.5,4.7,5.8,2.9,5.4,5.1,5.7,5.4,5.7,4.7,5.7,5.3,5.3,4.8,F,0.0,1,2.0,4.5,3.75,A,4.6499999999999995,5.612500000000001,5.324999999999999,TB,0.5206349206349197,1.238095238095239,0.41947565543070997,0
75,4.2,5.6,5.0,8.4,6.3,8.2,6.9,3.9,5.5,6.8,7.7,6.9,6.8,8.0,6.4,5.1,5.1,6.3,6.1,7.8,6.1,6.4,6.9,4.4,6.4,8.1,7.8,8.0,6.2,8.1,8.3,5.5,8.0,6.4,6.1,6.2,6.0,6.3,5.9,5.5,8.5,6.3,5.7,7.2,7.1,6.9,7.3,5.5,F,0.0,1,5.25,3.5,4.5,A,6.0625,6.6499999999999995,6.812499999999999,K,1.9555555555555557,2.2261904761904763,2.202247191011235,0
76,5.5,4.0,4.3,5.6,3.3,5.9,2.8,3.4,6.0,4.3,3.2,4.5,3.7,4.9,4.7,3.2,2.9,2.8,3.5,4.1,4.1,3.5,5.1,4.8,4.2,3.6,3.5,6.3,5.2,6.6,5.4,4.6,5.5,5.0,3.9,5.1,4.2,5.4,4.9,3.7,4.0,4.4,4.7,6.1,4.1,7.6,5.4,3.5,M,0.0,1,4.75,3.5,3.25,A,4.3500000000000005,4.3125,4.9750000000000005,Y,0.215873015873016,0.0,0.0,0
